SUBJECT,SP,Start,End,Length
W,7,5060.955833,5070.9475,9.991667
W,8,5084.953889,5094.945556000001,9.991667
W,9,5108.955278,5118.946943999999,9.991666
W,10,5134.283889,5138.942222,4.658333
W,11,5154.291111,5158.949444,4.658333
W,12,5174.290833,5178.949167,4.658334
W,13,5194.290833,5198.949167,4.658334
W,14,5214.285556,5218.943889,4.658333
W,15,5234.284167,5238.9425,4.658333
W,16,5254.284444,5258.9427780000005,4.658334
W,17,5274.284167,5278.9425,4.658333
W,18,5294.285833,5298.944167000001,4.658334
W,19,5314.285556,5318.943889,4.658333
W,20,5334.290278,5338.948611,4.658333
W,21,5354.284722,5358.943056,4.658334
W,22,5374.285833,5378.944167000001,4.658334
W,23,5394.290833,5398.949167,4.658334
W,24,5414.285833,5418.944167000001,4.658334
W,25,5434.29,5438.948333,4.658333
W,26,5454.288056,5458.946389,4.658333
W,27,5474.291111,5478.949444,4.658333
W,28,5494.289167,5498.9475,4.658333
W,29,5514.286111,5518.944444,4.658333
W,30,5534.285,5538.943333,4.658333
W,31,5554.284444,5558.9427780000005,4.658334
W,32,5574.290833,5578.949167,4.658334
W,33,5594.284722,5598.943056,4.658334
W,34,5614.253611,5624.245278,9.991667
W,35,5638.2530560000005,5648.2447219999995,9.991666
W,36,5662.256389,5672.248056,9.991667
W,37,5686.257778,5696.249444,9.991666
W,38,5710.2552780000005,5720.2469439999995,9.991666
X,1,3165.020833,3177.0125,11.991667
X,2,3181.018611,3185.010278,3.9916669999999996
X,3,3189.018889,3201.0105559999997,11.991667
X,4,3205.020833,3209.0125,3.9916669999999996
X,5,3213.0191670000004,3225.010833,11.991666
X,6,3229.020556,3233.012222,3.9916660000000004
X,7,3238.022778,3248.014444,9.991666
X,8,3262.024167,3272.015833,9.991666
X,9,3286.020278,3296.0119440000003,9.991666
X,10,3309.3575,3316.015833,6.658333
X,11,3329.35,3336.0083329999998,6.658333
X,12,3349.353056,3356.0113890000002,6.658333
X,13,3369.3505560000003,3376.008889,6.658333
X,14,3389.354167,3396.0125,6.658333
X,15,3409.35,3416.0083329999998,6.658333
X,16,3429.3516670000004,3436.01,6.658333
X,17,3449.3555560000004,3456.013889,6.658333
X,18,3469.356111,3476.014444,6.658333
X,19,3489.355,3496.013333,6.658333
X,20,3509.3502780000003,3516.0086109999997,6.658333
X,21,3529.3525,3536.010833,6.658333
X,22,3549.354722,3556.0130560000002,6.658334
X,23,3569.3502780000003,3576.0086109999997,6.658333
X,24,3589.3519439999995,3596.010278,6.658334
X,25,3609.354722,3616.0130560000002,6.658334
X,26,3629.356389,3636.014722,6.658333
X,27,3649.356111,3656.014444,6.658333
X,28,3669.357778,3676.016111,6.658333
X,29,3689.357222,3696.0155560000003,6.658334
X,30,3709.354167,3716.0125,6.658333
X,31,3729.3519439999995,3736.010278,6.658334
X,32,3749.35,3756.0083329999998,6.658333
X,33,3769.355,3776.013333,6.658333
X,34,3796.738333,3806.73,9.991667
X,35,3820.7375,3830.729167,9.991667
X,36,3844.733889,3854.7255560000003,9.991667
X,37,3868.738056,3878.729722,9.991666
X,38,3892.740833,3902.7158329999997,9.975
Y,1,5489.506944,5501.498611,11.991667
Y,2,5505.5030560000005,5509.4947219999995,3.9916660000000004
Y,3,5513.503333,5525.495,11.991667
Y,4,5529.508056000001,5533.499722,3.9916660000000004
Y,5,5537.501944,5549.493611,11.991667
Y,6,5553.5030560000005,5557.4947219999995,3.9916660000000004
Y,7,5562.501944,5572.493611,9.991667
Y,8,5586.501944,5596.493611,9.991667
Y,9,5610.506389,5620.498056,9.991667
Y,10,5635.836389,5640.4947219999995,4.658333
Y,11,5655.834167,5660.4925,4.658333
Y,12,5675.840833,5680.499167,4.658334
Y,13,5695.837222,5700.495556,4.658334
Y,14,5715.838333,5720.496667,4.658334
Y,15,5735.833333,5740.491667,4.658334
Y,16,5755.8366670000005,5760.495,4.658333
Y,17,5775.840278,5780.498611,4.658333
Y,18,5795.839167,5800.4975,4.658333
Y,19,5815.837222,5820.495556,4.658334
Y,20,5835.841111,5840.499444,4.658333
Y,21,5855.835833,5860.494167,4.658334
Y,22,5875.841111,5880.499444,4.658333
