SUBJECT,SESSION,HDIGMeanInverseRT,HDIGTheta0,HDIGTheta1,status
K,85,3.488050623285674,285.8699487867929,11719.127633488806,0
K,86,3.506552432068218,285.70072140942005,8809.293422729781,0
K,87,2.969417089256092,341.5224624097192,8398.533787093149,0
K,88,3.455211264275311,294.28404991561314,6694.510483826801,0
K,89,3.465220357970422,296.97980944887837,4930.961246087243,0
K,90,3.441170459947436,296.97608264383683,5765.043994129249,0
K,91,3.2665660972703265,310.5488917950205,7398.754544571174,0
K,92,3.3277674976326654,300.90425280519196,10570.222054644762,0
K,93,2.891395961713454,349.8303903703617,8203.878607503404,0
K,94,3.414094784973905,296.7773796549338,7067.396246787168,0
K,95,3.089817934830414,336.59491352367706,5139.986991984626,0
K,96,3.1005603714589594,321.73703248552596,11269.191522993891,0
K,97,2.800571596637085,362.0166558520556,8205.03718372104,0
K,98,3.0171237410550513,345.02831113514173,5036.022743089838,0
K,99,3.089391895264884,332.80534794988984,5518.719965930323,0
K,100,3.121183853115275,324.17549449380476,8216.572096794218,0
